userName,score,at,content
Andi Nhurul Syifa,5,2025-12-06 06:41:00,Aplikasi PLN mobile ini sangat recommended dan bagus terdapat banyak fitur yang membantu👍
Heri Dwi Wahyuono,5,2025-12-06 06:34:36,Terima kasih pln
Wahyudi Gunantoro kusuma,5,2025-12-06 06:30:30,sangat membantu di urusan listrik. good joob
Heri Setiawan,5,2025-12-06 06:29:42,"dengan adanya aplikasi PLN mobile,,, saya pelanggan PLN makin mudah dalam mengakses pelayanan dari PLN !!! terima kasih"
Astin Bekhu,5,2025-12-06 06:27:18,Berlistrik semakin nyaman bersama PLN Mobile
Ruslan Uce,5,2025-12-06 06:25:03,bisa mengetahui pemakaian melalui catat meter mandiri
Samsuroso,5,2025-12-06 06:22:42,pengaduan sistem online lebih simple
Teguh Widodo,5,2025-12-06 06:21:29,kesenangan yg pembayaran PLN & bayar Token
Kukoh Subaktiar,1,2025-12-06 06:21:22,"saya main mobile legends dan tiba-tiba mati listrik dan bikin kalah,,"
Budi Lahama,5,2025-12-06 06:19:46,aplikasi ini memberikan kemudahan bagi pelanggan untuk mengakses layanan PLN dari mana saja dan kapan saja
Ainur Rofiqin,5,2025-12-06 06:17:42,Fitur-fitur nya sangat menarik dan mudah untuk digunakan serta pelayanan cepat dan mudah
bahkita c fernandes,5,2025-12-06 06:15:32,makin mudah adanya aplikasi pln mobile bisa melakukan pengaduan pasang baru bayar tagihan listrik pembelian token listrik
Muh. Faisal,5,2025-12-06 06:13:44,bisa mengetahui pemakaian melalui catat meter sendiri
liva maria,5,2025-12-06 06:13:11,terang dan energizer itulah Pln
Wempi Pristiandi,5,2025-12-06 06:11:32,thanks pelayanan 👍
Feni Bros,5,2025-12-06 06:09:26,sgt memudahkan dlm pembelian token listrik dan berhadiah pula
pees ku,5,2025-12-06 06:05:42,pln mobile mantap
Vivi Marlina,5,2025-12-06 06:05:38,PLN terbaik
Teguh setyaji,5,2025-12-06 06:03:29,dengan adnya aplikasi pln mobil pelayanan cepat dan mudah trimakasih
Rizal Channel,5,2025-12-06 06:01:50,"aplikasinya bagus, sangatmembantu proses pasang baru pun cepat, terimakasihpln sukses terus👍"
Muhammad Basri,5,2025-12-06 06:00:05,bisa mengetahui diskon dan tarif listrik
"Rafika Yanti Tambunan, SKM",5,2025-12-06 05:58:08,selalu membantu untuk pembayaran online.. terbaik
